SL.NO.,% OF CLASS XII,SEM 1,SEM 2,SEM 3,SEM 4,SEM 5,SEM AVG
1,84.66,8.22,8.45,8.59,9.14,8.4,8.56
2,60.4,6.52,7.38,6.93,7.97,8.04,7.367999999999999
3,84.0,8.22,7.93,7.89,7.83,8.44,8.062
4,84.57,8.59,8.45,9.04,9.59,9.08,8.95
5,85.8,7.7,8.28,7.85,7.79,7.8,7.883999999999999
6,67.14,8.0,7.72,7.85,7.31,7.56,7.688
7,88.0,7.81,8.03,7.44,8.38,7.72,7.876
8,74.42,7.74,7.79,8.22,8.93,8.68,8.272
9,70.2,7.04,6.9,6.7,7.62,7.32,7.116
10,60.4,7.63,7.69,7.78,7.24,7.4,7.548
11,67.0,6.44,7.07,6.22,5.97,7.16,6.572
12,74.71,7.37,7.69,7.78,8.69,8.4,7.986
13,78.5,8.0,7.86,8.22,8.14,7.64,7.9719999999999995
14,68.28,6.48,7.21,6.89,7.72,7.6,7.18
15,88.16,8.19,8.83,7.93,8.76,8.24,8.39
16,78.66,6.37,7.542824956672444,6.33,7.512297090352222,6.88,
17,60.71,6.78,7.1,7.33,7.66,7.84,7.3420000000000005
18,88.2,8.26,7.66,7.89,8.14,7.89,7.967999999999999
19,76.5,7.78,8.21,7.41,7.59,7.36,7.67
20,68.28,7.33,7.79,7.22,7.52,8.04,7.58
21,83.4,8.3,7.69,6.89,8.1,8.44,7.884
22,65.6,7.56,6.93,7.41,7.1,7.76,7.351999999999999
23,74.0,7.63,7.41,7.19,6.97,7.92,7.4239999999999995
24,65.0,6.19,5.62,6.0,5.14,6.4,5.87
25,74.6,6.93,7.21,7.41,7.14,7.92,7.322
26,70.29,6.37,6.83,6.93,6.69,7.28,6.82
27,61.33,6.59,6.9,6.22,6.97,6.88,6.712000000000001
28,80.0,7.41,7.62,7.56,7.66,7.52,7.553999999999999
29,72.0,7.93,7.97,7.22,7.93,7.88,7.786
30,74.67,6.33,7.69,6.78,8.1,7.04,7.188
31,65.14,7.44,7.41,7.7,7.83,8.16,7.708000000000001
32,82.83,7.63,8.0,7.48,8.14,8.04,7.858
33,75.28,7.85,7.38,6.85,7.73,7.68,7.497999999999999
34,79.2,6.96,4.17,6.11,7.1,7.12,6.292
35,61.4,7.78,7.69,7.48,8.66,8.16,7.954000000000001
36,63.8,6.78,6.59,6.33,7.0,7.2,6.780000000000001
37,68.86,7.56,6.93,7.19,7.28,8.16,7.424000000000001
38,79.0,7.15,7.45,7.11,7.69,7.88,7.456
39,64.8,6.48,6.83,6.67,6.48,7.12,6.715999999999999
